uid,name,Staff,HWP,Location,HWP,Attendees,Paid,TranTrai,Upload,Time,Bulk,Complex,Task,Online,Team,Self,People,Assign,Coord,TranSamp,TimeSamp,WQO,WQC,WQM,WQS,created,access,login,Latest,ActivePeriod,Years,Blog,Comment,Footprint,Forum,Invite,InviteAccepted,Pres,Quiz,Sample,Share
6470,sophie88,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,18-Jun-14,31-Dec-69,31-Dec-69,18-Jun-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6487,zimunkee,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,18-Jun-14,31-Dec-69,31-Dec-69,18-Jun-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6488,DGilson13,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,19-Jun-14,31-Dec-69,31-Dec-69,19-Jun-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6506,elisa.grego,0,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,19-Jun-14,19-Jun-14,19-Jun-14,19-Jun-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6536,kkryjeski,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,20-Jun-14,31-Dec-69,31-Dec-69,20-Jun-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6537,salleh.hsbc,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,20-Jun-14,31-Dec-69,31-Dec-69,20-Jun-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6539,fftimmer,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,22-Jun-14,31-Dec-69,31-Dec-69,22-Jun-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6567,nimesh.shukla,0,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,23-Jun-14,23-Jun-14,23-Jun-14,23-Jun-14,0,0.00,0,0,0,0,0,0,0,1,0,0
6570,gursharandeep.chung,0,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,23-Jun-14,23-Jun-14,23-Jun-14,23-Jun-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6574,preyachhatralia,0,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,23-Jun-14,23-Jun-14,23-Jun-14,23-Jun-14,0,0.00,0,0,0,0,0,0,0,1,0,0
